2026-02-25 14:20:14 | WARNING  | Failed to fetch A-share price 601939.SH (normalized=601939): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:20:19 | WARNING  | Failed to fetch A-share price 601288.SH (normalized=601288): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:20:25 | WARNING  | Failed to fetch A-share price 601988.SH (normalized=601988): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:20:30 | WARNING  | Failed to fetch A-share price 600030.SH (normalized=600030): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:20:35 | WARNING  | Failed to fetch A-share price 601318.SH (normalized=601318): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:20:40 | WARNING  | Failed to fetch A-share price 601628.SH (normalized=601628): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:20:45 | WARNING  | Failed to fetch A-share price 600028.SH (normalized=600028): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:20:50 | WARNING  | Failed to fetch A-share price 601857.SH (normalized=601857): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:20:55 | WARNING  | Failed to fetch A-share price 002594.SZ (normalized=002594): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:21:00 | WARNING  | Failed to fetch A-share price 601088.SH (normalized=601088): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:21:00 | INFO     | Latest report refreshed (mode=live): D:\Code\test\tools\ah_recommendation_system\backend\data\daily_reports\report_20260225.json
2026-02-25 14:25:23 | WARNING  | Failed to fetch A-share price 601398.SH (normalized=601398): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:25:29 | WARNING  | Failed to fetch H-share price 1398.HK (normalized=1398): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:25:29 | WARNING  | 无法获取 601398.SH/1398.HK 的数据
2026-02-25 14:25:34 | WARNING  | Failed to fetch A-share price 601939.SH (normalized=601939): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:25:39 | WARNING  | Failed to fetch H-share price 0939.HK (normalized=0939): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:25:39 | WARNING  | 无法获取 601939.SH/0939.HK 的数据
2026-02-25 14:25:45 | WARNING  | Failed to fetch A-share price 601288.SH (normalized=601288): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:25:50 | WARNING  | Failed to fetch H-share price 1288.HK (normalized=1288): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:25:50 | WARNING  | 无法获取 601288.SH/1288.HK 的数据
2026-02-25 14:25:55 | WARNING  | Failed to fetch A-share price 601988.SH (normalized=601988): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:26:02 | WARNING  | Failed to fetch H-share price 3988.HK (normalized=3988): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:26:02 | WARNING  | 无法获取 601988.SH/3988.HK 的数据
2026-02-25 14:26:07 | WARNING  | Failed to fetch A-share price 600030.SH (normalized=600030): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:26:13 | WARNING  | Failed to fetch H-share price 6030.HK (normalized=6030): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:26:13 | WARNING  | 无法获取 600030.SH/6030.HK 的数据
2026-02-25 14:26:19 | WARNING  | Failed to fetch A-share price 601318.SH (normalized=601318): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:26:25 | WARNING  | Failed to fetch H-share price 2318.HK (normalized=2318): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:26:25 | WARNING  | 无法获取 601318.SH/2318.HK 的数据
2026-02-25 14:26:30 | WARNING  | Failed to fetch A-share price 601628.SH (normalized=601628): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:26:35 | WARNING  | Failed to fetch H-share price 2628.HK (normalized=2628): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:26:35 | WARNING  | 无法获取 601628.SH/2628.HK 的数据
2026-02-25 14:26:41 | WARNING  | Failed to fetch A-share price 600028.SH (normalized=600028): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:26:46 | WARNING  | Failed to fetch H-share price 0386.HK (normalized=0386): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:26:46 | WARNING  | 无法获取 600028.SH/0386.HK 的数据
2026-02-25 14:26:52 | WARNING  | Failed to fetch A-share price 601857.SH (normalized=601857): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:26:57 | WARNING  | Failed to fetch H-share price 0857.HK (normalized=0857): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:26:57 | WARNING  | 无法获取 601857.SH/0857.HK 的数据
2026-02-25 14:27:03 | WARNING  | Failed to fetch A-share price 002594.SZ (normalized=002594): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:27:08 | WARNING  | Failed to fetch H-share price 1211.HK (normalized=1211): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:27:08 | WARNING  | 无法获取 002594.SZ/1211.HK 的数据
2026-02-25 14:27:13 | WARNING  | Failed to fetch A-share price 601088.SH (normalized=601088): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:27:18 | WARNING  | Failed to fetch H-share price 1088.HK (normalized=1088): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:27:18 | WARNING  | 无法获取 601088.SH/1088.HK 的数据
2026-02-25 14:27:24 | WARNING  | Failed to fetch A-share price 601398.SH (normalized=601398): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:27:29 | WARNING  | Failed to fetch A-share price 601939.SH (normalized=601939): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:27:35 | WARNING  | Failed to fetch A-share price 601288.SH (normalized=601288): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
